ADMIN1_ID,ADMIN1_NAME
CHL.13_1,Ñuble
CHL.14_1,Santiago Metropolitan
CHL.15_1,Tarapacá
CHL.16_1,Valparaíso
CIV.1_1,Abidjan
CIV.2_1,Bas-Sassandra
CIV.3_1,Comoé
CIV.4_1,Denguélé
CIV.5_1,Gôh-Djiboua
CIV.6_1,Lacs
CIV.7_1,Lagunes
CIV.8_1,Montagnes
CIV.9_1,Sassandra-Marahoué
CIV.10_1,Savanes
CIV.11_1,Vallée du Bandama
CIV.12_1,Woroba
CIV.13_1,Yamoussoukro
CIV.14_1,Zanzan
CMR.1_1,Adamaoua
CMR.2_1,Centre
CMR.3_1,Est
CMR.4_1,Extrême-Nord
CMR.5_1,Littoral
CMR.7_1,Nord
CMR.6_1,Nord-Ouest
CMR.8_1,Ouest
CMR.10_1,Sud
CMR.9_1,Sud-Ouest
COD.1_1,Bas-Uele
COD.2_1,Équateur
COD.3_1,Haut-Katanga
COD.4_1,Haut-Lomami
COD.5_1,Haut-Uele
COD.6_1,Ituri
COD.9_1,Kasaï
COD.7_1,Kasaï-Central
COD.8_1,Kasaï-Oriental
COD.10_1,Kinshasa
COD.11_1,Kongo-Central
COD.12_1,Kwango
COD.13_1,Kwilu
COD.14_1,Lomami
COD.15_1,Lualaba
COD.16_1,Mai-Ndombe
COD.17_1,Maniema
COD.18_1,Mongala
COD.19_1,Nord-Kivu
COD.20_1,Nord-Ubangi
COD.21_1,Sankuru
COD.22_1,Sud-Kivu
COD.23_1,Sud-Ubangi
COD.24_1,Tanganyika
COD.25_1,Tshopo
COD.26_1,Tshuapa
COG.1_1,Bouenza
COG.2_1,Brazzaville
COG.4_1,Cuvette
COG.3_1,Cuvette-Ouest
COG.5_1,Kouilou
COG.6_1,Lékoumou
COG.7_1,Likouala
COG.8_1,Niari
COG.9_1,Plateaux
COG.10_1,Pointe Noire
COG.11_1,Pool
COG.12_1,Sangha
COK.1_1,Aitutaki
COK.2_1,Atiu
COK.3_1,Mangaia
COK.4_1,Manihiki
COK.5_1,Mauke
COK.6_1,Mitiaro
COK.7_1,Palmerston
COK.8_1,Penhryn
COK.9_1,Pukapuka
COK.10_1,Rakahanga
COK.11_1,Rarotonga
COL.1_2,Amazonas
COL.2_2,Antioquia
COL.3_2,Arauca
COL.4_2,Atlántico
COL.5_2,Bogotá D.C.
COL.6_2,Bolívar
COL.7_2,Boyacá
COL.8_2,Caldas
COL.9_2,Caquetá
COL.10_2,Casanare
COL.11_2,Cauca
COL.12_2,Cesar
COL.13_2,Chocó
COL.14_2,Córdoba
COL.15_2,Cundinamarca
COL.16_2,Guainía
COL.17_2,Guaviare
COL.18_2,Huila
COL.19_2,La Guajira
COL.20_2,Magdalena
COL.21_2,Meta
COL.22_2,Nariño
COL.23_2,Norte de Santander
COL.24_2,Putumayo
COL.25_2,Quindío
COL.26_2,Risaralda
COL.27_1,San Andrés y Providencia
COL.28_2,Santander
COL.29_2,Sucre
COL.30_2,Tolima
COL.31_2,Valle del Cauca
COL.32_2,Vaupés
COL.33_2,Vichada
COM.3_1,Mwali
COM.2_1,Njazídja
COM.1_1,Nzwani
CPV.1_1,Boa Vista
CPV.2_1,Brava
CPV.3_1,Maio
CPV.4_1,Mosteiros
CPV.5_1,Paúl
CPV.6_1,Porto Novo
CPV.7_1,Praia
CPV.8_1,Ribeira Brava
CPV.9_1,Ribeira Grande
CPV.10_1,Ribeira Grande de Santiago
CPV.11_1,Sal
CPV.12_1,Santa Catarina
CPV.13_1,Santa Catarina do Fogo
CPV.14_1,Santa Cruz
CPV.15_1,São Domingos
CPV.16_1,São Filipe
CPV.17_1,São Lourenço dos Órgãos
CPV.18_1,São Miguel
CPV.19_1,São Salvador do Mundo
CPV.20_1,São Vicente
CPV.21_1,Tarrafal
CPV.22_1,Tarrafal de São Nicolau
CRI.1_1,Alajuela
CRI.2_1,Cartago
CRI.3_1,Guanacaste
CRI.4_1,Heredia
CRI.5_1,Limón
CRI.6_1,Puntarenas
CRI.7_1,San José
CUB.1_1,Camagüey
CUB.2_1,Ciego de Ávila
CUB.3_1,Cienfuegos
CUB.4_1,Ciudad de la Habana
CUB.5_1,Granma
CUB.6_1,Guantánamo
CUB.7_1,Holguín
CUB.8_1,Isla de la Juventud
CUB.9_1,La Habana
CUB.10_1,Las Tunas
CUB.11_1,Matanzas
CUB.12_1,Mayabeque
CUB.13_1,Pinar del Río
CUB.14_1,Sancti Spíritus
CUB.15_1,Santiago de Cuba
CUB.16_1,Villa Clara
CYM.1_1,Bodden Town
CYM.3_1,East End
CYM.4_1,George Town
CYM.6_1,North Side
CYM.8_1,Sister Islands
CYM.7_1,West Bay
CYP.1_1,Famagusta
CYP.2_1,Larnaca
CYP.3_1,Limassol
CYP.4_1,Nicosia
CYP.5_1,Paphos
CZE.1_1,Jihočeský
CZE.2_1,Jihomoravský
CZE.3_1,Karlovarský
CZE.4_1,Kraj Vysočina
CZE.5_1,Královéhradecký
CZE.6_1,Liberecký
CZE.7_1,Moravskoslezský
CZE.8_1,Olomoucký
CZE.9_1,Pardubický
CZE.10_1,Plzeňský
CZE.11_1,Prague
CZE.12_1,Středočeský
CZE.13_1,Ústecký
CZE.14_1,Zlínský
DEU.1_1,Baden-Württemberg
DEU.2_1,Bayern
DEU.3_1,Berlin
DEU.4_1,Brandenburg
DEU.5_1,Bremen
DEU.6_1,Hamburg
DEU.7_1,Hessen
DEU.8_1,Mecklenburg-Vorpommern
DEU.9_1,Niedersachsen
DEU.10_1,Nordrhein-Westfalen
DEU.11_1,Rheinland-Pfalz
DEU.12_1,Saarland
DEU.14_1,Sachsen
DEU.13_1,Sachsen-Anhalt
DEU.15_1,Schleswig-Holstein
DEU.16_1,Thüringen
DJI.1_2,Ali Sabieh
DJI.6_1,Arta
DJI.2_1,Dikhil
DJI.3_1,Djiboutii
DJI.4_1,Obock
DJI.5_1,Tadjoura
DMA.1_1,Saint Andrew
DMA.2_1,Saint David
DMA.3_1,Saint George
DMA.4_1,Saint John
DMA.5_1,Saint Joseph
DMA.6_1,Saint Luke
DMA.7_1,Saint Mark
DMA.8_1,Saint Patrick
DMA.9_1,Saint Paul
DMA.10_1,Saint Peter
DNK.1_1,Hovedstaden
DNK.2_1,Midtjylland
DNK.3_1,Nordjylland
DNK.4_1,Sjælland
DNK.5_1,Syddanmark
DOM.1_1,Azua
DOM.2_1,Bahoruco
DOM.3_1,Barahona
DOM.4_1,Dajabón
DOM.5_1,Distrito Nacional
DOM.6_1,Duarte
DOM.7_1,El Seybo
DOM.8_1,Espaillat
DOM.9_1,Hato Mayor
DOM.10_1,Independencia
DOM.11_1,La Altagracia
DOM.12_1,La Estrelleta
DOM.13_1,La Romana
DOM.14_1,La Vega
DOM.15_1,María Trinidad Sánchez
DOM.16_1,Monseñor Nouel
DOM.17_1,Monte Cristi
DOM.18_1,Monte Plata
DOM.19_1,Pedernales
DOM.20_1,Peravia
DOM.21_1,Puerto Plata
DOM.22_1,Salcedo
DOM.23_1,Samaná
DOM.24_1,San Cristóbal
DOM.25_1,San José de Ocoa
DOM.26_1,San Juan
